2017-08-02 07:57:03.500407|INFO    |VirtualServer |1  |listening on 1.1.1.1:111, :::9987
2017-08-02 07:57:06.959344|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-02 07:57:27.457173|INFO    |VirtualServerBase|1  |client connected 'AudioBot'(id:253) from 1.1.1.1:111
2017-08-02 09:00:47.927945|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-02 11:10:34.069904|INFO    |VirtualServerBase|1  |client connected 'friend42[Laptop]'(id:10) from 1.1.1.1:111
2017-08-02 12:16:36.888002|INFO    |VirtualServerBase|1  |client disconnected 'friend42[Laptop]'(id:10) reason 'reasonmsg=Verlassen'
2017-08-02 12:17:43.654187|INFO    |VirtualServerBase|1  |client connected 'friend42[Laptop]'(id:10) from 1.1.1.1:111
2017-08-02 12:52:33.215555|INFO    |VirtualServerBase|1  |client disconnected 'friend42[Laptop]'(id:10) reason 'reasonmsg=Verlassen'
2017-08-02 12:54:50.925082|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-02 15:04:17.759763|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-02 17:34:24.097046|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-02 20:41:44.304090|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-02 21:05:56.294173|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-02 23:58:37.002330|INFO    |PktHandler    |1  |Dropping client 3 because of ping timeout 19 0 0
2017-08-02 23:58:37.011805|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-03 08:30:18.654573|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-03 08:32:44.965688|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-03 08:35:50.002334|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-03 09:09:22.783554|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-03 09:09:27.860396|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-03 09:15:41.164524|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-03 09:16:36.694553|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-03 12:33:44.801694|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-03 15:52:35.652465|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-03 18:03:37.790764|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-03 18:03:59.157161|INFO    |VirtualServerBase|1  |client connected 'Bob1'(id:307) from 1.1.1.1:111
2017-08-03 18:42:46.872530|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-03 18:42:53.662523|INFO    |VirtualServerBase|1  |client disconnected 'Bob1'(id:307) reason 'reasonmsg=leaving'
2017-08-03 20:05:46.106845|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-03 22:40:20.918812|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-03 23:47:00.292084|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2017-08-03 23:47:00.292168|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-04 06:57:37.388726|INFO    |VirtualServer |1  |query client connected 'Unknown from 1.1.1.1:111'(id:73)
2017-08-04 06:57:37.390210|INFO    |VirtualServerBase|1  |query client disconnected 'Scriptie'(id:73) reason 'reasonmsg=disconnecting'
2017-08-04 06:58:26.522317|INFO    |VirtualServer |1  |query client connected 'Unknown from 1.1.1.1:111'(id:73)
2017-08-04 06:58:26.523865|INFO    |VirtualServerBase|1  |query client disconnected 'Scriptie'(id:73) reason 'reasonmsg=disconnecting'
2017-08-04 06:59:00.094403|INFO    |VirtualServer |1  |query client connected 'Unknown from 1.1.1.1:111'(id:73)
2017-08-04 06:59:00.095472|INFO    |VirtualServerBase|1  |query client disconnected 'Scriptie'(id:73) reason 'reasonmsg=disconnecting'
2017-08-04 08:28:20.036419|INFO    |VirtualServerBase|1  |client connected 'Bob4'(id:368) from 1.1.1.1:111
2017-08-04 08:28:20.766221|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2568555213' by client 'Bob4'(id:368)
2017-08-04 08:28:21.462178|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1223793887' by client 'Bob4'(id:368)
2017-08-04 08:28:22.923180|INFO    |VirtualServerBase|1  |client disconnected 'Bob4'(id:368) reason 'reasonmsg=leaving'
2017-08-04 08:37:23.885540|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-04 15:08:29.576318|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-04 15:08:42.015071|INFO    |VirtualServerBase|1  |client connected 'Bob1'(id:307) from 1.1.1.1:111
2017-08-04 16:36:37.628243|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-04 16:49:24.589599|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-04 17:36:49.668663|INFO    |VirtualServerBase|1  |client disconnected 'Bob1'(id:307) reason 'reasonmsg=leaving'
2017-08-04 17:36:50.014133|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-04 18:00:03.513639|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-04 18:10:25.033687|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-04 18:19:47.801054|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-04 18:35:02.735684|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-04 19:07:06.799445|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-04 19:27:22.388802|INFO    |VirtualServerBase|1  |client connected 'Bob1'(id:307) from 1.1.1.1:111
